Grapheme	Grouped	Plain	Frequency
^	NULL	NULL	
$	NULL	NULL	
 	NULL	NULL	
³³	³³	³³	868
⁵⁵	⁵⁵	⁵⁵	720
¹¹	¹¹	¹¹	684
i	i	i	478
a	a	a	472
+	+	+	333
u	u	u	283
⁴⁵	⁴⁵	⁴⁵	277
l	l	l	275
tʰ	tʰ	tʰ	258
m	m	m	249
e	e	e	221
⁵³	⁵³	⁵³	208
ə	ə	ə	202
ɔ	ɔ	ɔ	200
ɛ	ɛ	ɛ	197
ɦ ³¹	ɦ.³¹	ɦ ³¹	196
²¹	²¹	²¹	191
s	s	s	185
kʰ	kʰ	kʰ	183
o	o	o	175
n	n	n	163
³¹	³¹	³¹	157
d	d	d	146
ʔ	ʔ	ʔ	136
cʰ	cʰ	cʰ	133
k	k	k	131
ɨ	ɨ	ɨ	127
j	j	j	124
pʰ	pʰ	pʰ	118
b	b	b	115
a ʔ	a.ʔ	a ʔ	109
ɦ ¹¹	ɦ.¹¹	ɦ ¹¹	101
t	t	t	99
ei	ei	ei	85
p l	p.l	p l	81
p	p	p	74
c	c	c	74
⁵¹	⁵¹	⁵¹	69
a ŋ	a.ŋ	a ŋ	69
kʰ l	kʰ.l	kʰ l	68
θ	θ	θ	66
w	w	w	58
r	r	r	55
³⁵	³⁵	³⁵	53
ɔ̃	ɔ̃	ɔ̃	52
ai	ai	ai	49
pʰ l	pʰ.l	pʰ l	47
tʰ w	tʰ.w	tʰ w	45
kʰ w	kʰ.w	kʰ w	42
⁰	⁰	⁰	39
i ʔ	i.ʔ	i ʔ	39
b l	b.l	b l	37
ɔ ʔ	ɔ.ʔ	ɔ ʔ	36
ə ŋ	ə.ŋ	ə ŋ	34
au	au	au	34
u ʔ	u.ʔ	u ʔ	34
ai ʔ	ai.ʔ	ai ʔ	33
k l	k.l	k l	31
x	x	x	29
pʰ r	pʰ.r	pʰ r	28
ou	ou	ou	26
ɛ ʔ	ɛ.ʔ	ɛ ʔ	26
o ŋ	o.ŋ	o ŋ	25
ɣ	ɣ	ɣ	25
